ID,Persona,Feature Area,User Story,Acceptance Criteria,Priority,Story Points
VIP-011,VIP KAM,Row Actions,As a VIP KAM I want to see quick action buttons when I hover over a VIP row so that I can take action without navigating away from the table.,"Hover reveals: filled blue Log Contact button + View underline link + ⋯ overflow menu | Non-hovered rows show muted outline Log Contact only | Hover row: blue-tint background + left accent stroke",P1,3
VIP-012,VIP KAM,Row Actions,As a VIP KAM I want to log a contact directly from the table row so that I can record interactions quickly without opening the full VIP record.,"Log Contact accessible from hover state and bulk action bar | Clicking opens log contact modal or flow | Submission saves to VIP record and updates Last Contact date",P1,8
VIP-013,VIP KAM,Bulk Actions,As a VIP KAM I want to select a single VIP row and see a contextual bulk action bar so that I can take targeted actions with clear visual confirmation of my selection.,"Checking row checkbox triggers bulk action bar | Bar shows: count badge (1 VIP selected) + Log Contact + Send Bonus + Export + Clear selection | Selected row: blue checkbox + left accent border + blue-tint bg | Header checkbox shows indeterminate state",P1,5
VIP-014,KAM Manager,Bulk Actions,As a KAM Manager I want to select multiple VIP rows at once so that I can perform batch actions across several players in one workflow.,"Multiple rows selectable via checkboxes | Bulk bar count updates to reflect selection (e.g. 3 VIPs selected) | All selected rows display consistent selected styling | Clear selection deselects all rows and dismisses bulk bar",P1,5
VIP-015,KAM Director,Bulk Actions,As a KAM Director I want to export selected VIPs to a file so that I can share book-of-business data with stakeholders outside the console.,"Export button in bulk bar triggers download or export flow | Export includes all visible column data for selected rows | File format is CSV or Excel",P2,5
VIP-016,VIP KAM,NBA Indicator,As a VIP KAM I want to see an amber triangle indicator on a VIP's name when Agentforce has a pending NBA action so that I know to act before my contact window closes.,"Amber triangle SVG renders inline with VIP name for players with pending NBA actions | Triangle absent for players with no pending actions | Indicator visible in default and hover row states",P1,3
VIP-017,VIP KAM,NBA Indicator,As a VIP KAM I want to click an NBA indicator to see a popover with the Agentforce recommendation so that I can understand the action without leaving the table.,"Click opens floating popover anchored to the indicator | Popover shows: NBA Action Pending header + Agentforce badge + AI recommendation text + View NBA Queue → CTA + Log Contact secondary action | Popover dismissible by clicking outside",P1,5
VIP-018,VIP KAM,Bonus Tracking,As a VIP KAM I want to see bonus information (amount / type / date) in Last Bonus Issued so that I can track recent promotional activity without opening each record.,"Bonus cell shows dollar amount on top line and Type · Date on second line | No bonus issued: — placeholder renders | Data populates from VIP bonus history",P1,3
VIP-019,VIP KAM,Bonus Tracking,As a VIP KAM I want to see an Overbonused badge when a VIP has hit their bonus cap so that I don't accidentally issue a bonus that will be rejected.,"Overbonused badge renders inline in bonus cell with $0 in red | Clicking badge opens detail popover: balance + last bonus + cap reset date + View Bonus History CTA | Overbonused rows: red left accent border + red-tint background",P1,5
VIP-020,VIP KAM,Data Display,As a VIP KAM I want Shield Select shown with a shield icon so that I can distinguish top-tier players at a glance without parsing text.,"Shield Select displays small shield SVG icon before label | Tier 1–5 display as plain text only | Shield icon present on both desktop rows and mobile cards",P2,2
VIP-021,VIP KAM,Mobile View,As a VIP KAM I want to access my VIP book of business on mobile so that I can review player status and take quick actions from my phone between meetings.,"Mobile view renders as stacked VIP cards (not horizontal table) | Each card shows: name + NBA indicator + segment + tier + state + GGR L30 + Last Contact + Last Bonus Issued + status pill + Contact button | Cards scrollable vertically",P2,8
VIP-022,VIP KAM,Mobile View,As a VIP KAM I want VIP cards on mobile to visually communicate urgency signals (Last Contact color / Overbonused / NBA) so that I can triage quickly on a small screen.,"Last Contact uses same urgency color coding as desktop | NBA amber triangle appears on card when pending | Overbonused shown in red on card bonus line",P2,3
VIP-023,KAM Manager,Overview Metrics,As a KAM Manager I want to see summary metrics for my team's book of business (Total VIPs / Active / Promotions / Demotions) on the Overview tab so that I can assess portfolio health at a glance.,"Overview tab displays four metric cards: Total VIPs + Active + Promotions + Demotions | Each card shows large count value + trend indicator + label | Color-coded top accents: blue (total) · green (active/promotions) · amber (demotions)",P1,3
VIP-024,KAM Director,Overview Metrics,As a KAM Director I want the Overview tab to include a Tableau Insights section so that I can view embedded analytics without leaving the console.,"Tableau Insights section visible on Overview tab below metrics cards | When not configured: placeholder shows Pending integration badge + Configure Integration CTA | Section is collapsible via Collapse toggle",P2,5
VIP-025,VIP KAM,Table View,As a VIP KAM I want the table to paginate results so that page load stays fast even with a large book of business.,"Pagination shows Showing X–Y of N VIPs | Next and Previous buttons navigate between pages | Page position persists when returning from a VIP record | Default page size is 10 rows",P1,3
